"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"Harry Potter y la Orden del Fénix / Harry Potter and the Order of the Phoenix (Spanish Edition)",,"1644732114","978-1644732113","Salamandra Bolsillo; Translation edición (23 Junio 2020)","928 páginas","https://images-na.ssl-images-amazon.com/images/I/51FnroXDPNL._SX313_BO1,204,203,200_.jpg"
"Brujas anónimas - Libro I - El comienzo: Una fantasía urbana en las calles de Buenos Aires. (Spanish Edition)",,,,,,
"El libro de todos los libros (Spanish Edition)","Federico Pallaro",,,,,
"Mister Impossible (The Dreamer Trilogy #2) (2)",,"1338188364","978-1338188363","Scholastic Press (18 Mayo 2021)","352 páginas","https://images-na.ssl-images-amazon.com/images/I/513oNTU4TJL._SX329_BO1,204,203,200_.jpg"
"Dinastía de las Sombras (Oferta Especial 3 Libros En 1) Colección Especial De Vampiros En Español: Libros de Novelas de Vampiros. Las mejores ... y Fantasía Paranormal (Spanish Edition)",,,"979-8615416187","Independently published (18 Febrero 2020)","384 páginas","https://images-na.ssl-images-amazon.com/images/I/51JnKReGu7L._SX331_BO1,204,203,200_.jpg"
"Sinsajo (Los Juegos del Hambre 3) (Hunger Games, 3) (Spanish Edition)",,"8427202148","978-8427202146","Molino; 1ª ed 1ª imp edición (15 Marzo 2012)","432 páginas","https://images-na.ssl-images-amazon.com/images/I/41Ucpdvdq8L._SX328_BO1,204,203,200_.jpg"
"La Dama de la Ciudadela (Battle Shore) (Spanish Edition)",,,"979-8655011410","Independently published (19 Junio 2020)","373 páginas","https://images-na.ssl-images-amazon.com/images/I/41KJoVDySeS._SX331_BO1,204,203,200_.jpg"
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons",,"0345535529","978-0345535528","Bantam; Media Tie In edición (29 Octubre 2013)",,"https://images-na.ssl-images-amazon.com/images/I/61iRBvRYEcL._SY498_BO1,204,203,200_.jpg"
"Il buio della verità (Mondi Alternativi) (Italian Edition)",,,,"BLITOS EDIZIONI; 1er edición (3 Diciembre 2021)",,
"Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians)","John Rocco","1484707230","978-1484707234","Disney-Hyperion; Box Pap/Ps edición (3 Junio 2014)","1840 páginas","https://images-na.ssl-images-amazon.com/images/I/41d3Xl4fSFS._SY498_BO1,204,203,200_.jpg"
"El Libro De Las Sombras Contadas (Vol. 1)","Joana Claverol",,,"Timun Mas (1 Enero 2001)","375 páginas","https://images-na.ssl-images-amazon.com/images/I/51FHx+xdTxL._SX339_BO1,204,203,200_.jpg"
"Harry Potter y la cámara secreta / Harry Potter and the Chamber of Secrets (Spanish Edition)",,"1644732084","978-1644732083","Salamandra Bolsillo; Translation edición (23 Junio 2020)","320 páginas","https://images-na.ssl-images-amazon.com/images/I/51T4v-i0PqL._SX313_BO1,204,203,200_.jpg"
"El retorno de Apotek: Ciencia ficción y fantasía (Spanish Edition)","Paco Leal",,,,,
"Demon Slayer: Kimetsu no Yaiba, Vol. 4 (4)",,"1974700550","978-1974700554","VIZ Media LLC; Illustrated edición (1 Enero 2019)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51syXuShb1L._SX331_BO1,204,203,200_.jpg"
"100 Books You Must Read Before You Die [volume 2]","Oscar Wilde",,,"KTHTK (3 Diciembre 2021)",,
"Harry Potter Film Wizardry: Updated Edition: From the Creative Team Behind the Celebrated Movie Series",,"0062878948","978-0062878946","Harper Design; Illustrated edición (13 Noviembre 2018)","172 páginas","https://images-na.ssl-images-amazon.com/images/I/517XNFw49mL._SX258_BO1,204,203,200_.jpg"
"Asesino de brujas. Volumen 3 (Spanish Edition)",,,,"Puck (19 Octubre 2021)",,
